a=axewblunt	sp=spearnoblunt	spb=spearwithbluntalt	bb=blutnwith2versions	bbb=blunt with pierce set to blunt such as pick	sw ord	swb=swbluntalt	club	knife/seax	sh ield	spbb = spear with no pierice damage				no weapon			
Test1																	
	1 osm	ale	eithne	arthry	frioc	bodero	siwi	8	9cealwin	gwen	11orosio	12 onuist	ultan	connor	harold	mihael	agas
	1 a kni	sp  clb	a clb	swb bb sh	swb bbb	spb sw	swb bbb	swb a	spb sp	sp spbb	swb bb	sw bbb	spb sp	a spb	spb staff	spb bbb	
no order	a	sp	a clb	bb 	bbb	sw 	no	a	sp 	sp	swb  	no	spb  	a  	spb  	no	
use any	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	spb	
use blunt	.	.	.	swb	swb  	spb  	swb  	.	spb	spbb  	swb	sw	spb	a	sp	spb	
																	
Test 2	1 kni bb	sp bb	a- clb	swb bb sh	swb bbb	spb bbb	sw bbb	swb a--	spb sp+	sp- spbb	swb bbb	sw bbb	spb sp	a spb	spb sp	spb bbb	
	a	bb	a	bb hammr	no	spb  	bbb	a	spb  	sp	no	no 	spb  	a  	sp	spb	
	.	.	.	.	no	.	.	.	.	.	no	no 	.	.	sp	spb	
	.	.	.	swb	swb	spb	bbb	a	spb	spbbb	swb	sw	.	.	sp	spb	
																	
Test 3	1 kni bbirhamm	sp bb	a- chphammer bb	swb bb sh	sw bbb	spb sw	sw bbb	swb a	spb sp+	sp- spbb	swb bbb	sw bbb sh	spb sp	spb bbahammer	spb sp	spb bbb	sw clb
	bb	bb	a	bb	bbb	sw	bbb	swb	spb	sp 	0	0	spb	spb	spb	0	sw
							bbb			spbb	0	0	spb	.	.	spb	
						spb		a			swb	0`	.	.			
																	
Test4	1 kni bbirhamm	sp bb	a- axehammer	swb bb sh	sw bbb	spb sw	sw bbb	swb a	spb sp+	sp++ spbb	a bbb	sw clb	spb sp	spb bbahammer	spb sp	spb bbb	kni clb
	bb	bb	bb	bb	bbb	sw	bbb	swb	spb	sp 	bbb	sw	spb	spb	sp	0	kni
							bbb			spbb	bbb	sw	spb	.	.	0	kni
	bb	bb	a	swb		spb		a			a	sw	.	.	sp stripes	spb	
